,
,
Hospital/Clinics ,Physical Location/Address
,
CENTRAL EQUITORIAL STATE,
Prime Hospital,Juba Opp Plan International
,
International pharmacy -Juba,"main headquarter gudele road, near LOU clinic"
,
Medicare Medical Specialist Centre,"Block-8, Gudele 1, Behind Mtn Customer Care Office - Juba"
,
Lou Specialized Clinic,"Gudele 1 Centre, Buaba 1 - Juba"
,
Evidence Based Medical Services - (Eb),"Suk Melisia, Munuki - Juba"
,
St. Kizito Medical Centre,"Munuki, Along Gudele Road, Opp. Hass Petrol Station- Juba."
,
Generations Medical Centre,"Hai Thoura, Next To Mad Motors, University Road - Juba"
,
,
Eclat Medical Services International,"Near Mama Zahara Hotel, Nimra Talata - Juba."
,
Eye Savers   (Optical),Opp. Mobil - Juba
,
Expert Medical Center ,"Munuki , Opposite Police Station"
,
Victorious Medical Centre,Hai Malakal - Juba
,
Metro Medical Center,Tongping
,
Juba Medical Complex,"Opp. Juba Teaching Hospital,Next To Radio Bakhita-Juba."
,
Medicare Clinic,Gudele 2-Across The Bridge
,
St.Luke International Medical Centre,Airport Road-Hai Jalaba
,
International Hospital (Ihk),Hai Malakal
,
St.Mathew Medical Centre,Gudele 2
,
Life Link Health Centre,Hai-Malakal
,
Medical Unique Healing Point Clinc(MUHEP),"Mangateen, new site road"
,
Ganesh Optic,Mobil Roundabout 
,
Ebenezer Medical Center,"Tombura Road, Opposite Traffic Offices"
,
Al-Amin Hospital,"Custom, Opposite Mcc Warehouse"
,
Victoria Health Services,
,
Antipas Pharmacy,Nimra Talata
,
Neighbor Care Pharmacy,"Malakia, Opposite Eden Bank"
,
Sure Laboratory ,
,
Peace Hospital ( Orthopaedics Only),Juba Town
,
City Eye Clinic,Tumbra Road Opp Havana Bakery
,
Modern Specialist Hospital,Juba Town-Hai Sujun Near Prisons
,
Coniah Medical Complex ,
,
Care Plus International Medical Centre,Thongping
,
Morobo Clinic Med Centre,Nyakuron West
,
Prime Medicare Center,Hai Thoura
,
Midland Medical Center,Yei Road
,
Dubai Opticals,"Kololo,Juba"
,
EASTERN EQUATORIAL STATE,
Dolvic Medicare Clinic,Kapoeta
,
Hope Medicare,"Torit-Juba Road, Opp. Dot Bishop'S Residence - Torit Town."
,
Gwj New Life Medical Center,"Torit-Juba Road, Opp. Dot Bishop'S Residence - Torit Town."
,
Family Care Medical Clinic ,"Torit-Juba Road, Opp. Dot Bishop'S Residence - Torit Town."
,
Iman Clinic,Eastern Equatorial 
,
Viva Medical Centre,"Along Magwi-Pajok Road, Magwi Town"
,
Lokwam Medical Clinic,Kapota
,
Panamkinda Health Services Ltd,Nimule
,
NORTHERN BAHR EL GAZEL STATE,
Panakimda Clinic (Blue Side Medical Center),Nyamlel-Aweil
,
Green World Medical Centre,"1. At Gabat, Opp. Unmiss Compound - Aweil Town."
,
Bethel Higher Clinic,"2. At Wanjok Centre, After Roundabout - Aweil East."
,
Hai Salam Health Clinic,Aweil
,
Life Care Clinic And Pharmacy,Kwajok Town
,
Al-Rahama Clinic,Aweil East Country
,
Launhom Pharmacy,Alek 
,
Greenworld Medical Centre Wanyjok,"Mabil Next To Governor'S Office,Wanyjok Town,Aweil"
,
LAKE STATE,
,
Mama Clinic,Yirol Rumbek North
,
True Care Medical Center,Mingkaman
,
Astra Clinic,Yirol Rumbek North
,
Glory Health Services,Rumkbek
,
Hossana Health Service ,Rumkbek
,
WESTERN EQUATORIAL STATE,
Ngunkata Clinic & Pharmacy,"Maridi-Juba Road,Behind Taam Petrol Station - Maridi."
,
Anisa Medical Center,Yambio Town
,
St Mary Medical Centre/ RAMA MEDICA;L CENTER,YAMBIO
,
Convenant Medical Center,anzara Road at suk gumba
,
,
,
JONGLEI STATE,
Memorial Medical Center,Bor Town
,
Medsave Clinic,Lankien 
,
Nyawurbek Medical Center,Lankien
,
Panamkinda Health Services Ltd,Bor Town
,
Baidit Medical Center,Bor Town
,
Moses Clinic,Akobo County
,
UPPERNILE STATE,
Rama Medical Center,Renk Town
,
El-Nemma Modern Clinic,Paloch 
,
St Mary Medical Centre,Bentiu
,
Akol kuether clinic,"Malakal , POC"
WESTERN BAHR EL GAZEL STATE,
St Daniel Combon Mission Hospital,Wau Town
,
Salama Clinic and Pharmacy ,"Wau Town, Daraja town "
,
Daraja modern clinic,"wau town, Daraja town"
WARRAP STATE,
Golden Clinic,"Wrrap Market, Oppositecomboni Church"
,
Baramantha medical center,Twic 
,
Piir Medical Center,Luonyaker - Gogorial.
,
Launhom Pharmacy And Clinic,Warrap Town 
,
PIBOR ADMINISTRATIVE STATE,
Abdi Medical Center,Pibor
,
Odaa Modern Clinic,Jebel Boma county 
,
Rama Medical Center,Pibor
,
Far East Medical Center,Greater Pibor Administrative Area
,
UNITY STATE,
Oda Medical Center ,Bentiu 
,
Miracle Medical Center,Yida County
,
Mercy Clinic ,Yida County
,
ABYEI ADMINISTRATION STATE,
Piir Medical Center,Agok - Abyei Town