UGANDA SERVICE PROVIDERS,
Hospital/Clinics ,Physical Location/Address
,
Kampala,
Ritz Medical center ,Munyonyo road
Nakasero Hospital ,Kampala
Paragon Hospital,Kampala
Kololo Hospital ,"Plot 16, Kawalya-Kaggwa Close, Kololo"
International Hospital ,Kampala
International Medical Centre (IDC) ,Kampala
Aga Khan University Hospital,"Diamond Trust Building, Kampala"
AAR Health Centre,City Centre
ACACIA HEALTH CENTER ,"Acacia ,Kampala"
AGA KHAN UNIVERSITY HOSPITAL ACACIA,"Acacia ,Kampala"
ACACIA HEALTH CENTER ,
,
Lifelink medical center- Namugongo,NAMUGONGO
Kololo,
International Medical Center,Kololo
,
Kitigum House,
International Medical Center,Kitigum House
,
Jinja,
International Medical Center,Jinja
,
Watoto,
International Medical Center,Watoto
,
Gulu,
International Medical Center,Gulu
Gulu Independent hospital,Gulu
Mbarara,
International Medical Center,Mbarara
,
Kasese,
International Medical Center,Kasese
,
Entebbe,
International Medical Center,Entebbe
AAR ENTEBBE CLINIC,Entebbe
,
Mukono,
International Medical Centre ,Mukono
AAR MUKONO,Mukono
,
Arua,
Rhema Hospital,Arua-Nebbi Road next to Rock Fuel Station
,
Family care clinic-Arua,Arua Town
,
,
Gulu,
International Medical Center,Gulu
Gulu Independent Hospital,Gulu
AAR Health Centre,Gulu
,
Koboko,
Grace Medical Center,Koboko
Rhema Medical Centre,Koboko
,
Adjumani,
Kristo Medical and Diagnostic Centre,Adjumani
,
Bweyogerere,
AAR Health Centre,Bweyogerere
AAR BWEYOGERERE ANNEX,Bweyogerere
,
Moyo,
Novise Medical and Diagnostic Center,Moyo
,
Bweyale ,
DK Community Medical Centre,Bweyale
,
Paidha,
Rhema Medical Centre,Koboko
,
Kabalagala,
AAR Health Centre,Kabalagala
,
Bugolobi,
AAR Health Centre,Bugolobi
AGA KHAN UNIVERSITY HOSPITAL BUGOLOBI,Bugolobi
,
Ntinda,
AAR Health Centre,Ntinda
,
Makerere Hill,
AAR Health Centre,Makerere Hill
,
Natete,
AAR Health Centre,Natete